x,y,v,p
26,37,1,bracket.png
26,40,1,bracket.png
26,41,1,bracket.png
26,42,1,bracket.png
26,43,1,bracket.png
26,44,1,bracket.png
26,45,1,bracket.png
26,55,1,bracket.png
26,56,1,bracket.png
26,57,1,bracket.png
26,58,1,bracket.png
26,59,1,bracket.png
26,60,1,bracket.png
26,63,1,bracket.png
26,65,1,bracket.png
26,66,1,bracket.png
26,71,1,bracket.png
26,72,1,bracket.png
26,80,1,bracket.png
26,81,1,bracket.png
26,82,1,bracket.png
26,86,1,bracket.png
26,87,1,bracket.png
27,10,1,bracket.png
27,11,1,bracket.png
27,12,1,bracket.png
27,19,1,bracket.png
27,20,1,bracket.png
27,28,1,bracket.png
27,29,1,bracket.png
27,34,1,bracket.png
27,37,1,bracket.png
27,38,1,bracket.png
27,39,1,bracket.png
27,40,1,bracket.png
27,44,1,bracket.png
27,45,1,bracket.png
27,46,1,bracket.png
27,53,1,bracket.png
27,54,1,bracket.png
27,55,1,bracket.png
27,59,1,bracket.png
27,60,1,bracket.png
27,61,1,bracket.png
27,62,1,bracket.png
27,63,1,bracket.png
27,65,1,bracket.png
27,66,1,bracket.png
27,70,1,bracket.png
27,71,1,bracket.png
27,79,1,bracket.png
27,80,1,bracket.png
27,87,1,bracket.png
27,88,1,bracket.png
27,89,1,bracket.png
28,8,1,bracket.png
28,9,1,bracket.png
28,10,1,bracket.png
28,20,1,bracket.png
28,21,1,bracket.png
28,29,1,bracket.png
28,30,1,bracket.png
28,34,1,bracket.png
28,35,1,bracket.png
28,37,1,bracket.png
28,38,1,bracket.png
28,39,1,bracket.png
28,46,1,bracket.png
28,47,1,bracket.png
28,53,1,bracket.png
28,54,1,bracket.png
28,61,1,bracket.png
28,62,1,bracket.png
28,64,1,bracket.png
28,65,1,bracket.png
28,70,1,bracket.png
28,71,1,bracket.png
28,78,1,bracket.png
28,79,1,bracket.png
28,89,1,bracket.png
28,90,1,bracket.png
28,91,1,bracket.png
29,7,1,bracket.png
29,8,1,bracket.png
29,9,1,bracket.png
29,21,1,bracket.png
29,22,1,bracket.png
29,29,1,bracket.png
29,30,1,bracket.png
29,35,1,bracket.png
29,36,1,bracket.png
29,38,1,bracket.png
29,46,1,bracket.png
29,47,1,bracket.png
29,52,1,bracket.png
29,53,1,bracket.png
29,61,1,bracket.png
29,62,1,bracket.png
29,64,1,bracket.png
29,69,1,bracket.png
29,70,1,bracket.png
29,77,1,bracket.png
29,78,1,bracket.png
29,91,1,bracket.png
29,92,1,bracket.png
30,5,1,bracket.png
30,6,1,bracket.png
30,7,1,bracket.png
30,22,1,bracket.png
30,23,1,bracket.png
30,30,1,bracket.png
30,31,1,bracket.png
30,35,1,bracket.png
30,36,1,bracket.png
30,47,1,bracket.png
30,52,1,bracket.png
30,53,1,bracket.png
30,63,1,bracket.png
30,64,1,bracket.png
30,68,1,bracket.png
30,69,1,bracket.png
30,76,1,bracket.png
30,77,1,bracket.png
30,92,1,bracket.png
30,93,1,bracket.png
30,94,1,bracket.png
31,3,1,bracket.png
31,4,1,bracket.png
31,5,1,bracket.png
31,23,1,bracket.png
31,24,1,bracket.png
31,31,1,bracket.png
31,36,1,bracket.png
31,37,1,bracket.png
31,47,1,bracket.png
31,52,1,bracket.png
31,53,1,bracket.png
31,62,1,bracket.png
31,63,1,bracket.png
31,68,1,bracket.png
31,69,1,bracket.png
31,75,1,bracket.png
31,76,1,bracket.png
31,94,1,bracket.png
31,95,1,bracket.png
31,96,1,bracket.png
32,3,1,bracket.png
32,4,1,bracket.png
32,5,1,bracket.png
32,6,1,bracket.png
32,24,1,bracket.png
32,25,1,bracket.png
32,31,1,bracket.png
32,32,1,bracket.png
32,37,1,bracket.png
32,47,1,bracket.png
32,52,1,bracket.png
32,53,1,bracket.png
32,62,1,bracket.png
32,67,1,bracket.png
32,68,1,bracket.png
32,74,1,bracket.png
32,75,1,bracket.png
32,93,1,bracket.png
32,94,1,bracket.png
32,95,1,bracket.png
32,96,1,bracket.png
32,97,1,bracket.png
33,5,1,bracket.png
33,6,1,bracket.png
33,7,1,bracket.png
33,8,1,bracket.png
33,9,1,bracket.png
33,25,1,bracket.png
33,26,1,bracket.png
33,32,1,bracket.png
33,33,1,bracket.png
33,37,1,bracket.png
33,38,1,bracket.png
33,46,1,bracket.png
33,47,1,bracket.png
33,52,1,bracket.png
33,53,1,bracket.png
33,61,1,bracket.png
33,62,1,bracket.png
33,66,1,bracket.png
33,67,1,bracket.png
33,73,1,bracket.png
33,74,1,bracket.png
33,90,1,bracket.png
33,91,1,bracket.png
33,92,1,bracket.png
33,93,1,bracket.png
33,94,1,bracket.png
34,8,1,bracket.png
34,9,1,bracket.png
34,10,1,bracket.png
34,11,1,bracket.png
34,26,1,bracket.png
34,27,1,bracket.png
34,28,1,bracket.png
34,33,1,bracket.png
34,38,1,bracket.png
34,39,1,bracket.png
34,45,1,bracket.png
34,46,1,bracket.png
34,53,1,bracket.png
34,54,1,bracket.png
34,60,1,bracket.png
34,61,1,bracket.png
34,66,1,bracket.png
34,67,1,bracket.png
34,72,1,bracket.png
34,73,1,bracket.png
34,88,1,bracket.png
34,89,1,bracket.png
34,90,1,bracket.png
34,91,1,bracket.png
35,11,1,bracket.png
35,12,1,bracket.png
35,13,1,bracket.png
35,27,1,bracket.png
35,28,1,bracket.png
35,29,1,bracket.png
35,33,1,bracket.png
35,34,1,bracket.png
35,39,1,bracket.png
35,40,1,bracket.png
35,41,1,bracket.png
35,42,1,bracket.png
35,43,1,bracket.png
35,44,1,bracket.png
35,45,1,bracket.png
35,54,1,bracket.png
35,55,1,bracket.png
35,56,1,bracket.png
35,57,1,bracket.png
35,58,1,bracket.png
35,59,1,bracket.png
35,60,1,bracket.png
35,65,1,bracket.png
35,66,1,bracket.png
35,71,1,bracket.png
35,72,1,bracket.png
35,86,1,bracket.png
35,87,1,bracket.png
35,88,1,bracket.png
35,89,1,bracket.png
36,13,1,bracket.png
36,14,1,bracket.png
36,15,1,bracket.png
36,29,1,bracket.png
36,30,1,bracket.png
36,34,1,bracket.png
36,35,1,bracket.png
36,41,1,bracket.png
36,42,1,bracket.png
36,43,1,bracket.png
36,44,1,bracket.png
36,56,1,bracket.png
36,57,1,bracket.png
36,58,1,bracket.png
36,59,1,bracket.png
36,64,1,bracket.png
36,65,1,bracket.png
36,69,1,bracket.png
36,70,1,bracket.png
36,71,1,bracket.png
36,84,1,bracket.png
36,85,1,bracket.png
36,86,1,bracket.png
37,15,1,bracket.png
37,16,1,bracket.png
37,17,1,bracket.png
37,30,1,bracket.png
37,31,1,bracket.png
37,35,1,bracket.png
37,64,1,bracket.png
37,65,1,bracket.png
37,68,1,bracket.png
37,69,1,bracket.png
37,82,1,bracket.png
37,83,1,bracket.png
37,84,1,bracket.png
38,17,1,bracket.png
38,18,1,bracket.png
38,19,1,bracket.png
38,31,1,bracket.png
38,32,1,bracket.png
38,35,1,bracket.png
38,36,1,bracket.png
38,63,1,bracket.png
38,64,1,bracket.png
38,67,1,bracket.png
38,68,1,bracket.png
38,80,1,bracket.png
38,81,1,bracket.png
38,82,1,bracket.png
39,19,1,bracket.png
39,20,1,bracket.png
39,21,1,bracket.png
39,32,1,bracket.png
39,33,1,bracket.png
39,36,1,bracket.png
39,37,1,bracket.png
39,62,1,bracket.png
39,63,1,bracket.png
39,66,1,bracket.png
39,67,1,bracket.png
39,79,1,bracket.png
39,80,1,bracket.png
39,81,1,bracket.png
40,20,1,bracket.png
40,21,1,bracket.png
40,22,1,bracket.png
40,33,1,bracket.png
40,34,1,bracket.png
40,37,1,bracket.png
40,62,1,bracket.png
40,63,1,bracket.png
40,65,1,bracket.png
40,66,1,bracket.png
40,77,1,bracket.png
40,78,1,bracket.png
40,79,1,bracket.png
41,22,1,bracket.png
41,23,1,bracket.png
41,24,1,bracket.png
41,34,1,bracket.png
41,35,1,bracket.png
41,37,1,bracket.png
41,38,1,bracket.png
41,61,1,bracket.png
41,62,1,bracket.png
41,64,1,bracket.png
41,65,1,bracket.png
41,76,1,bracket.png
41,77,1,bracket.png
42,24,1,bracket.png
42,25,1,bracket.png
42,35,1,bracket.png
42,36,1,bracket.png
42,38,1,bracket.png
42,39,1,bracket.png
42,61,1,bracket.png
42,63,1,bracket.png
42,64,1,bracket.png
42,74,1,bracket.png
42,75,1,bracket.png
42,76,1,bracket.png
43,25,1,bracket.png
43,26,1,bracket.png
43,36,1,bracket.png
43,37,1,bracket.png
43,39,1,bracket.png
43,60,1,bracket.png
43,61,1,bracket.png
43,62,1,bracket.png
43,63,1,bracket.png
43,73,1,bracket.png
43,74,1,bracket.png
44,26,1,bracket.png
44,27,1,bracket.png
44,28,1,bracket.png
44,37,1,bracket.png
44,38,1,bracket.png
44,39,1,bracket.png
44,40,1,bracket.png
44,59,1,bracket.png
44,60,1,bracket.png
44,61,1,bracket.png
44,62,1,bracket.png
44,72,1,bracket.png
44,73,1,bracket.png
45,28,1,bracket.png
45,29,1,bracket.png
45,38,1,bracket.png
45,39,1,bracket.png
45,40,1,bracket.png
45,41,1,bracket.png
45,59,1,bracket.png
45,60,1,bracket.png
45,61,1,bracket.png
45,70,1,bracket.png
45,71,1,bracket.png
45,72,1,bracket.png
46,29,1,bracket.png
46,30,1,bracket.png
46,39,1,bracket.png
46,40,1,bracket.png
46,41,1,bracket.png
46,58,1,bracket.png
46,59,1,bracket.png
46,60,1,bracket.png
46,69,1,bracket.png
46,70,1,bracket.png
47,30,1,bracket.png
47,31,1,bracket.png
47,41,1,bracket.png
47,42,1,bracket.png
47,57,1,bracket.png
47,58,1,bracket.png
47,59,1,bracket.png
47,68,1,bracket.png
47,69,1,bracket.png
48,31,1,bracket.png
48,32,1,bracket.png
48,42,1,bracket.png
48,57,1,bracket.png
48,58,1,bracket.png
48,67,1,bracket.png
48,68,1,bracket.png
49,32,1,bracket.png
49,33,1,bracket.png
49,66,1,bracket.png
49,67,1,bracket.png
50,33,1,bracket.png
50,34,1,bracket.png
50,65,1,bracket.png
50,66,1,bracket.png
51,34,1,bracket.png
51,35,1,bracket.png
51,64,1,bracket.png
51,65,1,bracket.png
52,35,1,bracket.png
52,36,1,bracket.png
52,63,1,bracket.png
52,64,1,bracket.png
53,36,1,bracket.png
53,37,1,bracket.png
53,62,1,bracket.png
53,63,1,bracket.png
54,37,1,bracket.png
54,38,1,bracket.png
54,61,1,bracket.png
54,62,1,bracket.png
55,38,1,bracket.png
55,39,1,bracket.png
55,60,1,bracket.png
55,61,1,bracket.png
56,39,1,bracket.png
56,40,1,bracket.png
56,60,1,bracket.png
57,40,1,bracket.png
57,41,1,bracket.png
57,59,1,bracket.png
57,60,1,bracket.png
58,40,1,bracket.png
58,41,1,bracket.png
58,58,1,bracket.png
58,59,1,bracket.png
59,41,1,bracket.png
59,42,1,bracket.png
59,57,1,bracket.png
59,58,1,bracket.png
60,42,1,bracket.png
60,43,1,bracket.png
60,57,1,bracket.png
61,43,1,bracket.png
61,56,1,bracket.png
61,57,1,bracket.png
62,43,1,bracket.png
62,44,1,bracket.png
62,55,1,bracket.png
62,56,1,bracket.png
63,44,1,bracket.png
63,45,1,bracket.png
63,55,1,bracket.png
64,45,1,bracket.png
64,54,1,bracket.png
64,55,1,bracket.png
65,45,1,bracket.png
65,46,1,bracket.png
65,53,1,bracket.png
65,54,1,bracket.png
66,46,1,bracket.png
66,53,1,bracket.png
66,54,1,bracket.png
67,46,1,bracket.png
67,47,1,bracket.png
67,52,1,bracket.png
67,53,1,bracket.png
68,47,1,bracket.png
68,48,1,bracket.png
68,49,1,bracket.png
68,50,1,bracket.png
68,51,1,bracket.png
68,52,1,bracket.png
6,87,1,star.png
7,86,1,star.png
7,87,1,star.png
7,88,1,star.png
8,85,1,star.png
8,86,1,star.png
8,87,1,star.png
8,88,1,star.png
8,89,1,star.png
9,85,1,star.png
9,86,1,star.png
9,88,1,star.png
9,89,1,star.png
10,84,1,star.png
10,85,1,star.png
10,89,1,star.png
10,90,1,star.png
11,84,1,star.png
11,85,1,star.png
11,89,1,star.png
11,90,1,star.png
11,91,1,star.png
12,84,1,star.png
12,85,1,star.png
12,90,1,star.png
12,91,1,star.png
13,84,1,star.png
13,85,1,star.png
13,88,1,star.png
13,89,1,star.png
13,90,1,star.png
13,91,1,star.png
14,82,1,star.png
14,83,1,star.png
14,84,1,star.png
14,85,1,star.png
14,88,1,star.png
14,89,1,star.png
14,90,1,star.png
15,81,1,star.png
15,82,1,star.png
15,83,1,star.png
15,84,1,star.png
15,85,1,star.png
15,88,1,star.png
15,89,1,star.png
15,90,1,star.png
16,81,1,star.png
16,82,1,star.png
16,89,1,star.png
16,90,1,star.png
16,91,1,star.png
17,81,1,star.png
17,82,1,star.png
17,90,1,star.png
17,91,1,star.png
18,81,1,star.png
18,82,1,star.png
